Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Bind,100 Thieves,7,1,3,2,3,1,2,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Pearl,LOUD,2,0,0,0,7,0,4,2
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,Pearl,100 Thieves,7,0,4,2,2,0,0,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Abyss,Evil Geniuses,3,2,3,0,9,1,3,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Abyss,Sentinels,9,1,3,0,3,2,3,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Pearl,Evil Geniuses,6,1,4,0,7,1,3,2
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Pearl,Sentinels,7,1,3,2,6,1,4,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Abyss,KRÜ Esports,9,2,2,0,7,0,2,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Abyss,ENVY,7,0,2,0,9,2,2,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Pearl,KRÜ Esports,2,0,3,0,10,0,2,1
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Pearl,ENVY,10,0,2,1,2,0,3,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Breeze,KRÜ Esports,8,0,1,0,8,2,3,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,Breeze,ENVY,8,2,3,0,8,0,1,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Pearl,LEVIATÁN,1,1,1,0,5,2,4,2
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Pearl,Cloud9,5,2,4,2,1,1,1,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Split,LEVIATÁN,3,1,4,0,4,5,3,1
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,Split,Cloud9,4,5,3,1,3,1,4,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Corrode,100 Thieves,8,2,2,1,6,0,5,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Corrode,Sentinels,6,0,5,0,8,2,2,1
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Split,100 Thieves,10,3,3,0,8,2,4,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,Split,Sentinels,8,2,4,0,10,3,3,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Pearl,ENVY,13,1,4,0,11,2,7,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Pearl,Cloud9,11,2,7,0,13,1,4,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Breeze,ENVY,10,2,1,0,6,1,1,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Breeze,Cloud9,6,1,1,0,10,2,1,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Split,ENVY,6,4,1,0,9,2,2,0
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,Split,Cloud9,9,2,2,0,6,4,1,0
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,Abyss,Mega Minors,7,4,0,2,5,0,1,0
