Tournament,Stage,Match Type,Match Name,Team,Action,Map
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,FURIA,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,G2 Esports,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,FURIA,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,G2 Esports,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,Evil Geniuses,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,LOUD,ban,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,Evil Geniuses,pick,Haven
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,LOUD,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,Evil Geniuses,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,LOUD,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,LEVIATÁN,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,KRÜ Esports,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,LEVIATÁN,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,KRÜ Esports,pick,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,LEVIATÁN,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,KRÜ Esports,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,100 Thieves,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,Mega Minors,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,100 Thieves,pick,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,Mega Minors,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,100 Thieves,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,Mega Minors,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,Cloud9,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,G2 Esports,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,Cloud9,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,G2 Esports,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,Cloud9,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,G2 Esports,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,Evil Geniuses,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,ENVY,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,Evil Geniuses,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,ENVY,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,Evil Geniuses,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,ENVY,ban,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,Sentinels,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,LEVIATÁN,ban,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,Sentinels,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,LEVIATÁN,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,Sentinels,ban,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,LEVIATÁN,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,Evil Geniuses,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,100 Thieves,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,Evil Geniuses,pick,Haven
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,100 Thieves,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,Evil Geniuses,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,100 Thieves,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,LEVIATÁN,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,Cloud9,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,LEVIATÁN,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,Cloud9,pick,Breeze
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,LEVIATÁN,ban,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,Cloud9,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,Mega Minors,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,G2 Esports,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,Mega Minors,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,G2 Esports,pick,Split
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,Mega Minors,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,G2 Esports,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,Cloud9,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,100 Thieves,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,Cloud9,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,100 Thieves,pick,Split
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,Cloud9,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,100 Thieves,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,MIBR,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,FURIA,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,MIBR,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,FURIA,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,MIBR,pick,Haven
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,FURIA,pick,Breeze
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,100 Thieves,ban,Haven
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,Mega Minors,ban,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,100 Thieves,pick,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,Mega Minors,pick,Abyss
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,100 Thieves,ban,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Round 5,NRG vs 100 Thieves,Mega Minors,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,MIBR,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,G2 Esports,ban,Abyss
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,MIBR,pick,Breeze
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,G2 Esports,pick,Haven
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,MIBR,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,G2 Esports,pick,Split
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,MIBR,ban,Pearl
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Mega Minors,ban,Breeze
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,MIBR,pick,Bind
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Mega Minors,pick,Corrode
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,MIBR,pick,Split
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,Mega Minors,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Natus Vincere,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Karmine Corp,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Natus Vincere,pick,Split
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Karmine Corp,pick,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Natus Vincere,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Karmine Corp,ban,Breeze
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,FUT Esports,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,Gentle Mates,ban,Breeze
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,FUT Esports,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,Gentle Mates,pick,Split
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,FUT Esports,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,Gentle Mates,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,BBL Esports,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,PCIFIC Esports,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,BBL Esports,pick,Breeze
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,PCIFIC Esports,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,BBL Esports,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,PCIFIC Esports,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,Team Vitality,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,ULF Esports,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,Team Vitality,pick,Breeze
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,ULF Esports,pick,Corrode
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,Team Vitality,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,ULF Esports,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Natus Vincere,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Team Heretics,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Natus Vincere,pick,Bind
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Team Heretics,pick,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Natus Vincere,ban,Breeze
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Team Heretics,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,Gentle Mates,ban,Breeze
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,GIANTX,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,Gentle Mates,pick,Pearl
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,GIANTX,pick,Bind
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,Gentle Mates,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,GIANTX,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,BBL Esports,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,FNATIC,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,BBL Esports,pick,Breeze
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,FNATIC,pick,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,BBL Esports,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,FNATIC,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Team Vitality,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Team Liquid,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Team Vitality,pick,Breeze
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Team Liquid,pick,Pearl
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Team Vitality,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Team Liquid,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Karmine Corp,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Team Liquid,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Karmine Corp,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Team Liquid,pick,Split
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Karmine Corp,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Team Liquid,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,FUT Esports,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,FNATIC,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,FUT Esports,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,FNATIC,pick,Corrode
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,FUT Esports,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,FNATIC,ban,Breeze
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,PCIFIC Esports,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,GIANTX,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,PCIFIC Esports,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,GIANTX,pick,Bind
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,PCIFIC Esports,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,GIANTX,ban,Breeze
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,ULF Esports,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,Team Heretics,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,ULF Esports,pick,Haven
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,Team Heretics,pick,Bind
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,ULF Esports,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,Team Heretics,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Gentle Mates,ban,Breeze
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Natus Vincere,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Gentle Mates,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Natus Vincere,pick,Bind
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Gentle Mates,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Natus Vincere,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,BBL Esports,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,Team Vitality,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,BBL Esports,pick,Haven
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,Team Vitality,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,BBL Esports,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,Team Vitality,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,FNATIC,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,Team Liquid,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,FNATIC,pick,Corrode
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,Team Liquid,pick,Split
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,FNATIC,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,Team Liquid,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,GIANTX,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,Team Heretics,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,GIANTX,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,Team Heretics,pick,Haven
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,GIANTX,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,Team Heretics,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,Karmine Corp,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,FUT Esports,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,Karmine Corp,pick,Haven
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,FUT Esports,pick,Split
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,Karmine Corp,ban,Breeze
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,FUT Esports,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,ULF Esports,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,PCIFIC Esports,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,ULF Esports,pick,Split
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,PCIFIC Esports,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,ULF Esports,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,PCIFIC Esports,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Natus Vincere,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,FNATIC,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Natus Vincere,pick,Split
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,FNATIC,pick,Breeze
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Natus Vincere,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,FNATIC,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,GIANTX,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,Team Vitality,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,GIANTX,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,Team Vitality,pick,Breeze
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,GIANTX,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,Team Vitality,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Karmine Corp,ban,Breeze
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Team Heretics,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Karmine Corp,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Team Heretics,pick,Haven
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Karmine Corp,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Team Heretics,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,ULF Esports,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,Team Liquid,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,ULF Esports,pick,Split
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,Team Liquid,pick,Breeze
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,ULF Esports,ban,Bind
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,Team Liquid,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Team Heretics,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Natus Vincere,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Team Heretics,pick,Haven
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Natus Vincere,pick,Breeze
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Team Heretics,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Natus Vincere,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,Team Liquid,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,GIANTX,ban,Corrode
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,Team Liquid,pick,Breeze
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,GIANTX,pick,Pearl
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,Team Liquid,ban,Split
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,GIANTX,ban,Abyss
VCT 2026: EMEA Kickoff,Main Event,Lower Round 4,Team Heretics vs Team Liquid,Team Liquid,ban,Haven
VCT 2026: EMEA Kickoff,Main Event,Lower Round 4,Team Heretics vs Team Liquid,Team Heretics,ban,Pearl
VCT 2026: EMEA Kickoff,Main Event,Lower Round 4,Team Heretics vs Team Liquid,Team Liquid,pick,Abyss
VCT 2026: EMEA Kickoff,Main Event,Lower Round 4,Team Heretics vs Team Liquid,Team Heretics,pick,Bind
