Tournament,Stage,Match Type,Match Name,Team,Action,Map
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Mega Minors,ban,Split
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,T1,ban,Corrode
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,G2 Esports,ban,Bind
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,T1,pick,Breeze
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,G2 Esports,pick,Haven
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,T1,ban,Abyss
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,G2 Esports,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Paper Rex,ban,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,FURIA,ban,Bind
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Paper Rex,pick,Haven
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,FURIA,pick,Breeze
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Paper Rex,ban,Corrode
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,FURIA,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Gentle Mates,ban,Breeze
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Nongshim RedForce,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Gentle Mates,pick,Haven
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Nongshim RedForce,pick,Corrode
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Gentle Mates,ban,Split
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Nongshim RedForce,ban,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,BBL Esports,ban,Bind
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Mega Minors,ban,Haven
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,BBL Esports,pick,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Mega Minors,pick,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,BBL Esports,ban,Corrode
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Mega Minors,ban,Breeze
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,All Gamers,ban,Haven
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,G2 Esports,ban,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,All Gamers,pick,Split
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,G2 Esports,pick,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,All Gamers,ban,Breeze
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,G2 Esports,ban,Corrode
