Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,T1,BuZz,"jett, raze",4,1,,,,,,,,46,2,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,T1,Munchkin,"omen, viper",6,,1,,,,,,,49,3,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,T1,Meteor,"astra, viper",5,1,,,1,,,,,30,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,T1,iZu,yoru,9,2,1,,,,,,,53,2,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,Team Liquid,nAts,viper,7,2,1,,1,,,,,49,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,Team Liquid,purp0,"skye, sova",1,,2,,,,,,,53,15,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,Team Liquid,kamo,"waylay, yoru",8,2,,,2,,,,,47,2,4
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,Team Liquid,MiniBoo,neon,9,4,,,,1,,,,57,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,Team Liquid,wayne,omen,3,1,1,,,,,,,43,3,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,T1,stax,sova,5,1,,1,,,,1,,83,7,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,T1,BuZz,jett,3,,,,,,,,,43,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,T1,Munchkin,viper,3,,1,,,,,,,55,1,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,T1,Meteor,astra,1,,,,,,,,,21,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,T1,iZu,yoru,3,,1,,,,,,,55,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,Team Liquid,nAts,viper,2,1,,,,,,,,48,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,Team Liquid,purp0,sova,,,,,,,,,,56,5,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,Team Liquid,kamo,yoru,3,2,,,1,,,,,59,2,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,Team Liquid,MiniBoo,neon,4,3,,,,,,,,72,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,Team Liquid,wayne,omen,1,,,,,,,,,33,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Split,T1,stax,fade,2,4,,,,,,,,50,3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Split,T1,BuZz,raze,1,1,,,,,,,,48,2,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Split,T1,Munchkin,omen,3,,,,,,,,,42,2,0
