Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Split,Nongshim RedForce,14,8,4,2,G2 Esports,12,8,4,0,1:00:57
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Abyss,Nongshim RedForce,7,5,2,,G2 Esports,13,6,7,,43:15
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Pearl,Paper Rex,12,5,7,0,Mega Minors,14,5,7,2,1:00:22
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind,Paper Rex,11,4,7,,Mega Minors,13,5,8,,58:09
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven,G2 Esports,13,11,2,,BBL Esports,5,4,1,,40:29
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze,G2 Esports,13,6,7,,BBL Esports,8,2,6,,44:58
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode,Paper Rex,10,3,7,,All Gamers,13,4,9,,55:50
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl,Paper Rex,13,6,7,,All Gamers,7,1,6,,42:30
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split,Paper Rex,13,9,4,,All Gamers,4,1,3,,36:31
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Nongshim RedForce,13,7,6,,Mega Minors,9,4,5,,47:58
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Nongshim RedForce,13,9,4,,Mega Minors,11,8,3,,53:24
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven,Paper Rex,11,5,6,,G2 Esports,13,6,7,,50:27
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Breeze,Paper Rex,13,8,5,,G2 Esports,9,5,4,,47:35
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Corrode,Paper Rex,13,10,3,,G2 Esports,4,2,2,,36:49
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Pearl,Mega Minors,13,6,7,,Paper Rex,8,2,6,,48:07
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Split,Mega Minors,7,5,2,,Paper Rex,13,6,7,,43:12
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Corrode,Mega Minors,6,5,1,,Paper Rex,13,6,7,,45:27
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Breeze,Mega Minors,9,3,6,,Paper Rex,13,4,9,,48:28
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Corrode,Nongshim RedForce,13,4,9,,Paper Rex,11,3,8,,49:17
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,13,9,4,,Paper Rex,4,1,3,,31:52
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,13,10,3,,Paper Rex,3,1,2,,30:41
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Abyss,ENVY,9,2,7,,Evil Geniuses,13,3,10,,54:34
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Corrode,ENVY,13,7,6,,Evil Geniuses,10,5,5,,49:14
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,Bind,ENVY,13,7,6,,Evil Geniuses,9,4,5,,46:43
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,Haven,LOUD,7,5,2,,Cloud9,13,6,7,,52:56
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,Abyss,LOUD,11,7,4,,Cloud9,13,8,5,,49:48
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,Pearl,KRÜ Esports,13,7,6,,FURIA,10,5,5,,1:01:51
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,Breeze,KRÜ Esports,8,7,1,,FURIA,13,8,5,,44:31
