Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 3,Paper Rex vs G2 Esports,626549,Corrode,254400
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Final,NRG vs Paper Rex,626550,Pearl,254401
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Final,NRG vs Paper Rex,626550,Split,254402
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Final,NRG vs Paper Rex,626550,Corrode,254403
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Final,NRG vs Paper Rex,626550,Breeze,254404
Valorant Masters Santiago 2026,2760,Playoffs,5546,Grand Final,Nongshim RedForce vs Paper Rex,626544,Corrode,254381
Valorant Masters Santiago 2026,2760,Playoffs,5546,Grand Final,Nongshim RedForce vs Paper Rex,626544,Split,254382
Valorant Masters Santiago 2026,2760,Playoffs,5546,Grand Final,Nongshim RedForce vs Paper Rex,626544,Abyss,254383
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,ENVY vs Evil Geniuses,596399,Abyss,244778
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,ENVY vs Evil Geniuses,596399,Corrode,244779
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,ENVY vs Evil Geniuses,596399,Bind,244780
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,LOUD vs Cloud9,596398,Haven,244775
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,LOUD vs Cloud9,596398,Abyss,244776
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,KRÜ Esports vs FURIA,596400,Pearl,244781
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,KRÜ Esports vs FURIA,596400,Breeze,244782
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,KRÜ Esports vs FURIA,596400,Abyss,244783
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,100 Thieves vs LEVIATÁN,596401,Bind,244784
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,100 Thieves vs LEVIATÁN,596401,Pearl,244785
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 1,100 Thieves vs LEVIATÁN,596401,Split,244786
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 2,NRG vs Cloud9,596402,Pearl,244787
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 2,NRG vs Cloud9,596402,Breeze,244788
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 2,MIBR vs ENVY,596403,Abyss,244790
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 2,MIBR vs ENVY,596403,Corrode,244791
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 2,Sentinels vs FURIA,596404,Split,244793
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 2,Sentinels vs FURIA,596404,Breeze,244794
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 2,G2 Esports vs 100 Thieves,596405,Bind,244796
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 2,G2 Esports vs 100 Thieves,596405,Corrode,244797
VCT 2026: Americas Kickoff,2682,Main Event,0,Upper Round 2,G2 Esports vs 100 Thieves,596405,Split,244798
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,LOUD vs 100 Thieves,596409,Breeze,244810
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,LOUD vs 100 Thieves,596409,Pearl,249108
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,LOUD vs 100 Thieves,596409,Bind,244812
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,Evil Geniuses vs Sentinels,596410,Abyss,244813
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,Evil Geniuses vs Sentinels,596410,Pearl,244814
VCT 2026: Americas Kickoff,2682,Main Event,0,Middle Round 1,KRÜ Esports vs ENVY,596411,Abyss,244816
