Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,All Gamers,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,All Gamers,sova,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,All Gamers,waylay,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,All Gamers,astra,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,All Gamers,harbor,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,sova,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,waylay,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,astra,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,G2 Esports,harbor,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,FURIA,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,FURIA,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,FURIA,sova,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,FURIA,neon,0,1,1
